# gunzip -c exp/tri3b/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Sat Dec  9 11:40:00 IST 2023
#
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 42.0% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 45.0% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 58.0% of phone occurrences, with duration (median, mean, 95-percentile) is (13,58.1,266) frames.
At utterance begin, sil accounts for 42.0% of phone occurrences, with duration (median, mean, 95-percentile) is (27,34.9,60) frames.
At utterance begin, CH_B accounts for 11.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,6.3,13) frames.
At utterance begin, TH_B accounts for 10.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,12.1,29) frames.
At utterance begin, DH_B accounts for 8.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,13.0,21) frames.
At utterance begin, EY_B accounts for 8.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,43.2,48) frames.
At utterance begin, P_B accounts for 7.0% of phone occurrences, with duration (median, mean, 95-percentile) is (131,228.9,267) frames.
At utterance begin, N_B accounts for 5.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,13.2,19) frames.
At utterance begin, AH_B accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,23.2,15) frames.
At utterance begin, S_B accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (142,145.7,147) frames.
At utterance begin, SH_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (255,264.5,255) frames.
At utterance end, nonsilence accounts for 55.0% of phone occurrences, with duration (median, mean, 95-percentile) is (18,17.4,38) frames.
At utterance end, sil accounts for 45.0% of phone occurrences, with duration (median, mean, 95-percentile) is (40,48.4,92) frames.
At utterance end, AW_E accounts for 11.0% of phone occurrences, with duration (median, mean, 95-percentile) is (25,27.5,31) frames.
At utterance end, N_E accounts for 9.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,6.1,8) frames.
At utterance end, OW_E accounts for 8.0% of phone occurrences, with duration (median, mean, 95-percentile) is (18,20.6,27) frames.
At utterance end, CH_E accounts for 5.0% of phone occurrences, with duration (median, mean, 95-percentile) is (19,18.8,20) frames.
At utterance end, EY_E accounts for 5.0% of phone occurrences, with duration (median, mean, 95-percentile) is (20,21.4,24) frames.
At utterance end, T_E accounts for 5.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,20.6,40) frames.
At utterance end, R_E accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,7.0,5) frames.
At utterance end, TH_E accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.8,3) frames.
At utterance end, K_E accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,15.5,3) frames.
At utterance end, Y_E accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,25.5,4) frames.
Overall, nonsilence accounts for 83.8% of phone occurrences, with duration (median, mean, 95-percentile) is (13,23.2,63) frames.
Overall, AH_I accounts for 17.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,10.7,26) frames.
Overall, sil accounts for 16.2% of phone occurrences, with duration (median, mean, 95-percentile) is (35,44.2,118) frames.
Overall, N_I accounts for 5.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.5,9) frames.
Overall, CH_B accounts for 4.8% of phone occurrences, with duration (median, mean, 95-percentile) is (18,19.0,44) frames.
Overall, AW_E accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (30,31.4,45) frames.
Overall, DH_B accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (19,20.6,34) frames.
Overall, N_B accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (15,15.2,22) frames.
Overall, OW_E accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (28,33.0,63) frames.
